Unnamed: 0,warnum,disno,dyindex,statea,stateb,warstrtmnth,warstrtday,warstrtyr,warendmnth,warenday,warendyr,year,warolea,waroleb,wardyadrolea,wardyadroleb,outcomea,batdtha,batdthb,changes_1,changes_2,batdths,durindx,a_latitude,a_longitude,b_latitude,b_longitude,stateNameA,stateAbbA,stateNameB,stateAbbB
76,40,135,135.002,70,220,5,5,1862,2,5,1867,1864,3,1,3,1,1.0,12000.0,8000.0,,,20000.0,6,19.4326009,-99.1333416,46.603354,1.8883335,Mexico,MEX,France,FRN
77,40,135,135.002,70,220,5,5,1862,2,5,1867,1865,3,1,3,1,1.0,12000.0,8000.0,,,20000.0,4,19.4326009,-99.1333416,46.603354,1.8883335,Mexico,MEX,France,FRN
78,40,135,135.002,70,220,5,5,1862,2,5,1867,1866,3,1,3,1,1.0,12000.0,8000.0,,,20000.0,2,19.4326009,-99.1333416,46.603354,1.8883335,Mexico,MEX,France,FRN
79,40,135,135.002,70,220,5,5,1862,2,5,1867,1867,3,1,3,1,1.0,12000.0,8000.0,,,20000.0,3,19.4326009,-99.1333416,46.603354,1.8883335,Mexico,MEX,France,FRN
80,40,135,135.002,220,70,5,5,1862,2,5,1867,1862,1,3,1,3,3.0,8000.0,12000.0,,,20000.0,4,46.603354,1.8883335,19.4326009,-99.1333416,France,FRN,Mexico,MEX
81,40,135,135.002,220,70,5,5,1862,2,5,1867,1863,1,3,1,3,3.0,8000.0,12000.0,,,20000.0,1,46.603354,1.8883335,19.4326009,-99.1333416,France,FRN,Mexico,MEX
82,40,135,135.002,220,70,5,5,1862,2,5,1867,1864,1,3,1,3,3.0,8000.0,12000.0,,,20000.0,2,46.603354,1.8883335,19.4326009,-99.1333416,France,FRN,Mexico,MEX
83,40,135,135.002,220,70,5,5,1862,2,5,1867,1865,1,3,1,3,3.0,8000.0,12000.0,,,20000.0,6,46.603354,1.8883335,19.4326009,-99.1333416,France,FRN,Mexico,MEX
84,40,135,135.002,220,70,5,5,1862,2,5,1867,1866,1,3,1,3,3.0,8000.0,12000.0,,,20000.0,3,46.603354,1.8883335,19.4326009,-99.1333416,France,FRN,Mexico,MEX
85,40,135,135.002,220,70,5,5,1862,2,5,1867,1867,1,3,1,3,3.0,8000.0,12000.0,,,20000.0,5,46.603354,1.8883335,19.4326009,-99.1333416,France,FRN,Mexico,MEX
86,43,1519,1519.001,100,130,12,6,1863,12,6,1863,1863,3,1,3,1,1.0,300.0,700.0,,,1000.0,1,2.8894434,-73.78389200000002,-1.3397668,-79.3666965,Colombia,COL,Ecuador,ECU
87,43,1519,1519.001,130,100,12,6,1863,12,6,1863,1863,1,3,1,3,3.0,700.0,300.0,,,1000.0,1,-1.3397668,-79.3666965,2.8894434,-73.78389200000002,Ecuador,ECU,Colombia,COL
88,46,194,194.002,255,390,2,1,1864,7,20,1864,1864,1,3,1,3,1.0,1048.0,2933.0,,,3981.0,1,51.0834196,10.4234469,55.670249,10.333328300000002,Germany,GMY,Denmark,DEN
89,46,194,194.002,390,255,2,1,1864,7,20,1864,1864,3,1,3,1,3.0,2933.0,1048.0,,,3981.0,1,55.670249,10.333328300000002,51.0834196,10.4234469,Denmark,DEN,Germany,GMY
90,46,194,194.007,300,390,2,1,1864,7,20,1864,1864,1,3,1,3,1.0,500.0,2933.0,,,3433.0,1,46.35038755,19.13865633,55.670249,10.333328300000002,Austria-Hungary,AUH,Denmark,DEN
91,46,194,194.007,390,300,2,1,1864,7,20,1864,1864,3,1,3,1,3.0,2933.0,500.0,,,3433.0,1,55.670249,10.333328300000002,46.35038755,19.13865633,Denmark,DEN,Austria-Hungary,AUH
92,49,1590,1590.001,140,150,12,23,1864,3,1,1870,1864,3,1,3,1,1.0,100000.0,200000.0,,,300000.0,1,-10.3333333,-53.2,-23.3165935,-58.1693445,Brazil,BRA,Paraguay,PAR
