year,stateA,stateB,totalStateA,totalStateB,totalsmoth,importance
1938.0,200.0,325.0,6438.0,1133.0,70.0,0.010872941907424665
1938.0,211.0,255.0,1489.0,4384.0,167.0,0.038093065693430656
1938.0,365.0,375.0,552.2088318000001,366.8549499,3.0,0.005432727307567846
1939.0,365.0,740.0,54.49798965,2422.857177,0.0,0.0
1939.0,255.0,290.0,4350.961669,208.4000016,33.130001,0.0076144088411641666
1940.0,255.0,365.0,3953.1812739999996,,156.34,0.039547895521069396
1940.0,255.0,365.0,3953.1812739999996,,156.34,0.039547895521069396
1940.0,255.0,365.0,3953.1812739999996,,156.34,0.039547895521069396
1940.0,220.0,325.0,1444.5382387,1246.9882202,23.369999,0.016178179555171646
1940.0,325.0,350.0,1246.9882202,143.17754745,5.880000099999999,0.004715361384133146
1940.0,255.0,365.0,3953.1812739999996,,156.34,0.039547895521069396
1940.0,255.0,365.0,3953.1812739999996,,156.34,0.039547895521069396
1940.0,255.0,365.0,3953.1812739999996,,156.34,0.039547895521069396
1940.0,255.0,365.0,3953.1812739999996,,156.34,0.039547895521069396
1940.0,255.0,365.0,3953.1812739999996,,156.34,0.039547895521069396
1940.0,255.0,365.0,3953.1812739999996,,156.34,0.039547895521069396
1940.0,255.0,360.0,3953.1812739999996,352.300003,170.91,0.04323353475441967
1940.0,255.0,385.0,3953.1812739999996,354.2636414,133.89999,0.03387145205828475
1940.0,255.0,350.0,3953.1812739999996,143.17754745,37.220001,0.009415202192926306
1940.0,200.0,255.0,6637.500122,3953.1812739999996,44.2076,0.006660278596978683
1940.0,220.0,255.0,1444.5382387,3953.1812739999996,808.6650400000001,0.20456057639414998
1940.0,210.0,255.0,887.7908935,3953.1812739999996,162.63,0.0411390191159749
1940.0,255.0,355.0,3953.1812739999996,167.09999847,70.769997,0.01790203688999869
1940.0,220.0,740.0,1444.5382387,2358.547974,9.630000099999998,0.004083020657692163
1940.0,200.0,220.0,6637.500122,1444.5382387,132.39,0.019945762345253026
1940.0,255.0,365.0,3953.1812739999996,,156.34,0.039547895521069396
1941.0,310.0,365.0,323.7999878,,0.55000001,0.0016985794648630929
1941.0,255.0,560.0,697.9161377,682.8491516,0.079999998,0.00011462694968430159
1941.0,310.0,365.0,323.7999878,,0.55000001,0.0016985794648630929
1941.0,310.0,365.0,323.7999878,,0.55000001,0.0016985794648630929
1941.0,310.0,365.0,323.7999878,,0.55000001,0.0016985794648630929
1941.0,310.0,365.0,323.7999878,,0.55000001,0.0016985794648630929
1941.0,310.0,365.0,323.7999878,,0.55000001,0.0016985794648630929
1941.0,310.0,365.0,323.7999878,,0.55000001,0.0016985794648630929
1941.0,310.0,365.0,323.7999878,,0.55000001,0.0016985794648630929
1941.0,310.0,365.0,323.7999878,,0.55000001,0.0016985794648630929
1941.0,310.0,365.0,323.7999878,,0.55000001,0.0016985794648630929
1941.0,200.0,740.0,6358.333496,1961.5924686,4.0299997,0.0006338138291323121
1941.0,255.0,345.0,697.9161377,,0.0,0.0
1941.0,310.0,345.0,323.7999878,,0.0,0.0
