warnum,disno,dyindex,statea,stateb,warstrtmnth,warstrtday,warstrtyr,warendmnth,warenday,warendyr,year,warolea,waroleb,wardyadrolea,wardyadroleb,outcomea,batdtha,batdthb,changes_1,changes_2,batdths,durindx,a_latitude,a_longitude,b_latitude,b_longitude
28,115,115.004,325,300,4,29,1859,7,11,1859,1859,3,1,3,1,1,2500,12500,,,15000,1,42.6384261,12.674297,46.35038755,19.13865633
31,1580,1580.001,230,600,10,22,1859,3,25,1860,1859,1,3,1,3,1,4000,6000,,,10000,2,39.3262345,-4.8380649,31.1728205,-7.3362482
31,1580,1580.001,230,600,10,22,1859,3,25,1860,1860,1,3,1,3,1,4000,6000,,,10000,1,39.3262345,-4.8380649,31.1728205,-7.3362482
31,1580,1580.001,600,230,10,22,1859,3,25,1860,1859,3,1,3,1,3,6000,4000,,,10000,2,31.1728205,-7.3362482,39.3262345,-4.8380649
31,1580,1580.001,600,230,10,22,1859,3,25,1860,1860,3,1,3,1,3,6000,4000,,,10000,1,31.1728205,-7.3362482,39.3262345,-4.8380649
34,112,112.002,325,327,9,10,1860,9,29,1860,1860,1,3,1,3,1,300,700,,,1000,1,42.6384261,12.674297,38.7812256,-90.2723946
34,112,112.002,327,325,9,10,1860,9,29,1860,1860,3,1,3,1,3,700,300,,,1000,1,38.7812256,-90.2723946,42.6384261,12.674297
37,113,113.002,325,329,11,3,1860,2,13,1861,1860,1,3,1,3,1,600,400,,,1000,2,42.6384261,12.674297,37.4922295,15.0704098
37,113,113.002,325,329,11,3,1860,2,13,1861,1861,1,3,1,3,1,600,400,,,1000,1,42.6384261,12.674297,37.4922295,15.0704098
37,113,113.002,329,325,11,3,1860,2,13,1861,1860,3,1,3,1,3,400,600,,,1000,1,37.4922295,15.0704098,42.6384261,12.674297
37,113,113.002,329,325,11,3,1860,2,13,1861,1861,3,1,3,1,3,400,600,,,1000,2,37.4922295,15.0704098,42.6384261,12.674297
40,135,135.002,70,220,5,5,1862,2,5,1867,1862,3,1,3,1,1,12000,8000,,,20000,1,19.4326009,-99.1333416,46.603354,1.8883335
40,135,135.002,70,220,5,5,1862,2,5,1867,1863,3,1,3,1,1,12000,8000,,,20000,5,19.4326009,-99.1333416,46.603354,1.8883335
40,135,135.002,70,220,5,5,1862,2,5,1867,1864,3,1,3,1,1,12000,8000,,,20000,6,19.4326009,-99.1333416,46.603354,1.8883335
40,135,135.002,70,220,5,5,1862,2,5,1867,1865,3,1,3,1,1,12000,8000,,,20000,4,19.4326009,-99.1333416,46.603354,1.8883335
40,135,135.002,70,220,5,5,1862,2,5,1867,1866,3,1,3,1,1,12000,8000,,,20000,2,19.4326009,-99.1333416,46.603354,1.8883335
40,135,135.002,70,220,5,5,1862,2,5,1867,1867,3,1,3,1,1,12000,8000,,,20000,3,19.4326009,-99.1333416,46.603354,1.8883335
40,135,135.002,220,70,5,5,1862,2,5,1867,1862,1,3,1,3,3,8000,12000,,,20000,4,46.603354,1.8883335,19.4326009,-99.1333416
40,135,135.002,220,70,5,5,1862,2,5,1867,1863,1,3,1,3,3,8000,12000,,,20000,1,46.603354,1.8883335,19.4326009,-99.1333416
40,135,135.002,220,70,5,5,1862,2,5,1867,1864,1,3,1,3,3,8000,12000,,,20000,2,46.603354,1.8883335,19.4326009,-99.1333416
40,135,135.002,220,70,5,5,1862,2,5,1867,1865,1,3,1,3,3,8000,12000,,,20000,6,46.603354,1.8883335,19.4326009,-99.1333416
40,135,135.002,220,70,5,5,1862,2,5,1867,1866,1,3,1,3,3,8000,12000,,,20000,3,46.603354,1.8883335,19.4326009,-99.1333416
40,135,135.002,220,70,5,5,1862,2,5,1867,1867,1,3,1,3,3,8000,12000,,,20000,5,46.603354,1.8883335,19.4326009,-99.1333416
43,1519,1519.001,100,130,12,6,1863,12,6,1863,1863,3,1,3,1,1,300,700,,,1000,1,2.8894434,-73.783892,-1.3397668,-79.3666965
43,1519,1519.001,130,100,12,6,1863,12,6,1863,1863,1,3,1,3,3,700,300,,,1000,1,-1.3397668,-79.3666965,2.8894434,-73.783892
46,194,194.002,255,390,2,1,1864,7,20,1864,1864,1,3,1,3,1,1048,2933,,,3981,1,51.0834196,10.4234469,55.670249,10.3333283
46,194,194.002,390,255,2,1,1864,7,20,1864,1864,3,1,3,1,3,2933,1048,,,3981,1,55.670249,10.3333283,51.0834196,10.4234469
46,194,194.007,300,390,2,1,1864,7,20,1864,1864,1,3,1,3,1,500,2933,,,3433,1,46.35038755,19.13865633,55.670249,10.3333283
46,194,194.007,390,300,2,1,1864,7,20,1864,1864,3,1,3,1,3,2933,500,,,3433,1,55.670249,10.3333283,46.35038755,19.13865633
49,1590,1590.001,140,150,12,23,1864,3,1,1870,1864,3,1,3,1,1,100000,200000,,,300000,1,-10.3333333,-53.2,-23.3165935,-58.1693445
