warnum,disno,statea,stateb,year,batdtha,batdthb,batdths,a_latitude,a_longitude,b_latitude,b_longitude,stateNameA,stateAbbA,stateNameB,stateAbbB
151,51,200,731,1953,710,316579,317289,54.7023545,-3.2765753,40.3736611,127.0870417,United Kingdom,UKG,North Korea,PRK
151,51,731,200,1950,316579,710,317289,40.3736611,127.0870417,54.7023545,-3.2765753,North Korea,PRK,United Kingdom,UKG
151,51,731,200,1951,316579,710,317289,40.3736611,127.0870417,54.7023545,-3.2765753,North Korea,PRK,United Kingdom,UKG
151,51,731,200,1952,316579,710,317289,40.3736611,127.0870417,54.7023545,-3.2765753,North Korea,PRK,United Kingdom,UKG
151,51,731,200,1953,316579,710,317289,40.3736611,127.0870417,54.7023545,-3.2765753,North Korea,PRK,United Kingdom,UKG
151,51,210,710,1950,111,422612,422723,52.2379891,5.534607382,35.000074,104.999927,Netherlands,NTH,China,CHN
151,51,210,710,1951,111,422612,422723,52.2379891,5.534607382,35.000074,104.999927,Netherlands,NTH,China,CHN
151,51,210,710,1952,111,422612,422723,52.2379891,5.534607382,35.000074,104.999927,Netherlands,NTH,China,CHN
151,51,210,710,1953,111,422612,422723,52.2379891,5.534607382,35.000074,104.999927,Netherlands,NTH,China,CHN
151,51,710,210,1950,422612,111,422723,35.000074,104.999927,52.2379891,5.534607382,China,CHN,Netherlands,NTH
151,51,710,210,1951,422612,111,422723,35.000074,104.999927,52.2379891,5.534607382,China,CHN,Netherlands,NTH
151,51,710,210,1952,422612,111,422723,35.000074,104.999927,52.2379891,5.534607382,China,CHN,Netherlands,NTH
151,51,710,210,1953,422612,111,422723,35.000074,104.999927,52.2379891,5.534607382,China,CHN,Netherlands,NTH
151,51,210,731,1950,111,316579,316690,52.2379891,5.534607382,40.3736611,127.0870417,Netherlands,NTH,North Korea,PRK
151,51,210,731,1951,111,316579,316690,52.2379891,5.534607382,40.3736611,127.0870417,Netherlands,NTH,North Korea,PRK
151,51,210,731,1952,111,316579,316690,52.2379891,5.534607382,40.3736611,127.0870417,Netherlands,NTH,North Korea,PRK
151,51,210,731,1953,111,316579,316690,52.2379891,5.534607382,40.3736611,127.0870417,Netherlands,NTH,North Korea,PRK
151,51,731,210,1950,316579,111,316690,40.3736611,127.0870417,52.2379891,5.534607382,North Korea,PRK,Netherlands,NTH
151,51,731,210,1951,316579,111,316690,40.3736611,127.0870417,52.2379891,5.534607382,North Korea,PRK,Netherlands,NTH
151,51,731,210,1952,316579,111,316690,40.3736611,127.0870417,52.2379891,5.534607382,North Korea,PRK,Netherlands,NTH
151,51,731,210,1953,316579,111,316690,40.3736611,127.0870417,52.2379891,5.534607382,North Korea,PRK,Netherlands,NTH
151,51,211,710,1951,97,422612,422709,50.6402809,4.6667145,35.000074,104.999927,Belgium,BEL,China,CHN
151,51,211,710,1952,97,422612,422709,50.6402809,4.6667145,35.000074,104.999927,Belgium,BEL,China,CHN
151,51,211,710,1953,97,422612,422709,50.6402809,4.6667145,35.000074,104.999927,Belgium,BEL,China,CHN
151,51,710,211,1951,422612,97,422709,35.000074,104.999927,50.6402809,4.6667145,China,CHN,Belgium,BEL
151,51,710,211,1952,422612,97,422709,35.000074,104.999927,50.6402809,4.6667145,China,CHN,Belgium,BEL
151,51,710,211,1953,422612,97,422709,35.000074,104.999927,50.6402809,4.6667145,China,CHN,Belgium,BEL
151,51,211,731,1951,97,316579,316676,50.6402809,4.6667145,40.3736611,127.0870417,Belgium,BEL,North Korea,PRK
151,51,211,731,1952,97,316579,316676,50.6402809,4.6667145,40.3736611,127.0870417,Belgium,BEL,North Korea,PRK
151,51,211,731,1953,97,316579,316676,50.6402809,4.6667145,40.3736611,127.0870417,Belgium,BEL,North Korea,PRK
151,51,731,211,1951,316579,97,316676,40.3736611,127.0870417,50.6402809,4.6667145,North Korea,PRK,Belgium,BEL
151,51,731,211,1952,316579,97,316676,40.3736611,127.0870417,50.6402809,4.6667145,North Korea,PRK,Belgium,BEL
151,51,731,211,1953,316579,97,316676,40.3736611,127.0870417,50.6402809,4.6667145,North Korea,PRK,Belgium,BEL
151,51,220,710,1951,288,422612,422900,46.603354,1.8883335,35.000074,104.999927,France,FRN,China,CHN
151,51,220,710,1952,288,422612,422900,46.603354,1.8883335,35.000074,104.999927,France,FRN,China,CHN
151,51,220,710,1953,288,422612,422900,46.603354,1.8883335,35.000074,104.999927,France,FRN,China,CHN
151,51,710,220,1951,422612,288,422900,35.000074,104.999927,46.603354,1.8883335,China,CHN,France,FRN
151,51,710,220,1952,422612,288,422900,35.000074,104.999927,46.603354,1.8883335,China,CHN,France,FRN
151,51,710,220,1953,422612,288,422900,35.000074,104.999927,46.603354,1.8883335,China,CHN,France,FRN
151,51,220,731,1951,288,316579,316867,46.603354,1.8883335,40.3736611,127.0870417,France,FRN,North Korea,PRK
151,51,220,731,1952,288,316579,316867,46.603354,1.8883335,40.3736611,127.0870417,France,FRN,North Korea,PRK
151,51,220,731,1953,288,316579,316867,46.603354,1.8883335,40.3736611,127.0870417,France,FRN,North Korea,PRK
151,51,731,220,1951,316579,288,316867,40.3736611,127.0870417,46.603354,1.8883335,North Korea,PRK,France,FRN
151,51,731,220,1952,316579,288,316867,40.3736611,127.0870417,46.603354,1.8883335,North Korea,PRK,France,FRN
151,51,731,220,1953,316579,288,316867,40.3736611,127.0870417,46.603354,1.8883335,North Korea,PRK,France,FRN
151,51,350,710,1950,169,422612,422781,38.9953683,21.9877132,35.000074,104.999927,Greece,GRC,China,CHN
151,51,350,710,1951,169,422612,422781,38.9953683,21.9877132,35.000074,104.999927,Greece,GRC,China,CHN
151,51,350,710,1952,169,422612,422781,38.9953683,21.9877132,35.000074,104.999927,Greece,GRC,China,CHN
151,51,350,710,1953,169,422612,422781,38.9953683,21.9877132,35.000074,104.999927,Greece,GRC,China,CHN
151,51,710,350,1950,422612,169,422781,35.000074,104.999927,38.9953683,21.9877132,China,CHN,Greece,GRC
151,51,710,350,1951,422612,169,422781,35.000074,104.999927,38.9953683,21.9877132,China,CHN,Greece,GRC
151,51,710,350,1952,422612,169,422781,35.000074,104.999927,38.9953683,21.9877132,China,CHN,Greece,GRC
151,51,710,350,1953,422612,169,422781,35.000074,104.999927,38.9953683,21.9877132,China,CHN,Greece,GRC
151,51,350,731,1950,169,316579,316748,38.9953683,21.9877132,40.3736611,127.0870417,Greece,GRC,North Korea,PRK
151,51,350,731,1951,169,316579,316748,38.9953683,21.9877132,40.3736611,127.0870417,Greece,GRC,North Korea,PRK
151,51,350,731,1952,169,316579,316748,38.9953683,21.9877132,40.3736611,127.0870417,Greece,GRC,North Korea,PRK
151,51,350,731,1953,169,316579,316748,38.9953683,21.9877132,40.3736611,127.0870417,Greece,GRC,North Korea,PRK
151,51,731,350,1950,316579,169,316748,40.3736611,127.0870417,38.9953683,21.9877132,North Korea,PRK,Greece,GRC
151,51,731,350,1951,316579,169,316748,40.3736611,127.0870417,38.9953683,21.9877132,North Korea,PRK,Greece,GRC
151,51,731,350,1952,316579,169,316748,40.3736611,127.0870417,38.9953683,21.9877132,North Korea,PRK,Greece,GRC
151,51,731,350,1953,316579,169,316748,40.3736611,127.0870417,38.9953683,21.9877132,North Korea,PRK,Greece,GRC
151,51,530,710,1951,120,422612,422732,10.2116702,38.6521203,35.000074,104.999927,Ethiopia,ETH,China,CHN
151,51,530,710,1952,120,422612,422732,10.2116702,38.6521203,35.000074,104.999927,Ethiopia,ETH,China,CHN
151,51,530,710,1953,120,422612,422732,10.2116702,38.6521203,35.000074,104.999927,Ethiopia,ETH,China,CHN
151,51,710,530,1951,422612,120,422732,35.000074,104.999927,10.2116702,38.6521203,China,CHN,Ethiopia,ETH
151,51,710,530,1952,422612,120,422732,35.000074,104.999927,10.2116702,38.6521203,China,CHN,Ethiopia,ETH
151,51,710,530,1953,422612,120,422732,35.000074,104.999927,10.2116702,38.6521203,China,CHN,Ethiopia,ETH
151,51,530,731,1951,120,316579,316699,10.2116702,38.6521203,40.3736611,127.0870417,Ethiopia,ETH,North Korea,PRK
151,51,530,731,1952,120,316579,316699,10.2116702,38.6521203,40.3736611,127.0870417,Ethiopia,ETH,North Korea,PRK
151,51,530,731,1953,120,316579,316699,10.2116702,38.6521203,40.3736611,127.0870417,Ethiopia,ETH,North Korea,PRK
151,51,731,530,1951,316579,120,316699,40.3736611,127.0870417,10.2116702,38.6521203,North Korea,PRK,Ethiopia,ETH
151,51,731,530,1952,316579,120,316699,40.3736611,127.0870417,10.2116702,38.6521203,North Korea,PRK,Ethiopia,ETH
151,51,731,530,1953,316579,120,316699,40.3736611,127.0870417,10.2116702,38.6521203,North Korea,PRK,Ethiopia,ETH
151,51,640,710,1950,717,422612,423329,38.9597594,34.9249653,35.000074,104.999927,Turkey,TUR,China,CHN
151,51,640,710,1951,717,422612,423329,38.9597594,34.9249653,35.000074,104.999927,Turkey,TUR,China,CHN
151,51,640,710,1952,717,422612,423329,38.9597594,34.9249653,35.000074,104.999927,Turkey,TUR,China,CHN
151,51,640,710,1953,717,422612,423329,38.9597594,34.9249653,35.000074,104.999927,Turkey,TUR,China,CHN
151,51,710,640,1950,422612,717,423329,35.000074,104.999927,38.9597594,34.9249653,China,CHN,Turkey,TUR
151,51,710,640,1951,422612,717,423329,35.000074,104.999927,38.9597594,34.9249653,China,CHN,Turkey,TUR
151,51,710,640,1952,422612,717,423329,35.000074,104.999927,38.9597594,34.9249653,China,CHN,Turkey,TUR
151,51,710,640,1953,422612,717,423329,35.000074,104.999927,38.9597594,34.9249653,China,CHN,Turkey,TUR
151,51,640,731,1950,717,316579,317296,38.9597594,34.9249653,40.3736611,127.0870417,Turkey,TUR,North Korea,PRK
151,51,640,731,1951,717,316579,317296,38.9597594,34.9249653,40.3736611,127.0870417,Turkey,TUR,North Korea,PRK
151,51,640,731,1952,717,316579,317296,38.9597594,34.9249653,40.3736611,127.0870417,Turkey,TUR,North Korea,PRK
151,51,640,731,1953,717,316579,317296,38.9597594,34.9249653,40.3736611,127.0870417,Turkey,TUR,North Korea,PRK
151,51,731,640,1950,316579,717,317296,40.3736611,127.0870417,38.9597594,34.9249653,North Korea,PRK,Turkey,TUR
151,51,731,640,1951,316579,717,317296,40.3736611,127.0870417,38.9597594,34.9249653,North Korea,PRK,Turkey,TUR
151,51,731,640,1952,316579,717,317296,40.3736611,127.0870417,38.9597594,34.9249653,North Korea,PRK,Turkey,TUR
151,51,731,640,1953,316579,717,317296,40.3736611,127.0870417,38.9597594,34.9249653,North Korea,PRK,Turkey,TUR
151,51,710,732,1950,422612,113248,535860,35.000074,104.999927,36.5581914,127.9408564,China,CHN,South Korea,ROK
151,51,710,732,1951,422612,113248,535860,35.000074,104.999927,36.5581914,127.9408564,China,CHN,South Korea,ROK
151,51,710,732,1952,422612,113248,535860,35.000074,104.999927,36.5581914,127.9408564,China,CHN,South Korea,ROK
151,51,710,732,1953,422612,113248,535860,35.000074,104.999927,36.5581914,127.9408564,China,CHN,South Korea,ROK
151,51,732,710,1950,113248,422612,535860,36.5581914,127.9408564,35.000074,104.999927,South Korea,ROK,China,CHN
151,51,732,710,1951,113248,422612,535860,36.5581914,127.9408564,35.000074,104.999927,South Korea,ROK,China,CHN
151,51,732,710,1952,113248,422612,535860,36.5581914,127.9408564,35.000074,104.999927,South Korea,ROK,China,CHN
151,51,732,710,1953,113248,422612,535860,36.5581914,127.9408564,35.000074,104.999927,South Korea,ROK,China,CHN
151,51,710,800,1951,422612,114,422726,35.000074,104.999927,14.8971921,100.83273,China,CHN,Thailand,THI
151,51,710,800,1952,422612,114,422726,35.000074,104.999927,14.8971921,100.83273,China,CHN,Thailand,THI
151,51,710,800,1953,422612,114,422726,35.000074,104.999927,14.8971921,100.83273,China,CHN,Thailand,THI
151,51,800,710,1951,114,422612,422726,14.8971921,100.83273,35.000074,104.999927,Thailand,THI,China,CHN
151,51,800,710,1952,114,422612,422726,14.8971921,100.83273,35.000074,104.999927,Thailand,THI,China,CHN
151,51,800,710,1953,114,422612,422726,14.8971921,100.83273,35.000074,104.999927,Thailand,THI,China,CHN
151,51,710,840,1951,422612,92,422704,35.000074,104.999927,12.7503486,122.7312101,China,CHN,Philippines,PHI
151,51,710,840,1952,422612,92,422704,35.000074,104.999927,12.7503486,122.7312101,China,CHN,Philippines,PHI
151,51,710,840,1953,422612,92,422704,35.000074,104.999927,12.7503486,122.7312101,China,CHN,Philippines,PHI
151,51,840,710,1951,92,422612,422704,12.7503486,122.7312101,35.000074,104.999927,Philippines,PHI,China,CHN
151,51,840,710,1952,92,422612,422704,12.7503486,122.7312101,35.000074,104.999927,Philippines,PHI,China,CHN
151,51,840,710,1953,92,422612,422704,12.7503486,122.7312101,35.000074,104.999927,Philippines,PHI,China,CHN
151,51,710,900,1950,422612,291,422903,35.000074,104.999927,-24.7761086,134.755,China,CHN,Australia,AUL
151,51,710,900,1951,422612,291,422903,35.000074,104.999927,-24.7761086,134.755,China,CHN,Australia,AUL
151,51,710,900,1952,422612,291,422903,35.000074,104.999927,-24.7761086,134.755,China,CHN,Australia,AUL
151,51,710,900,1953,422612,291,422903,35.000074,104.999927,-24.7761086,134.755,China,CHN,Australia,AUL
151,51,900,710,1950,291,422612,422903,-24.7761086,134.755,35.000074,104.999927,Australia,AUL,China,CHN
151,51,900,710,1951,291,422612,422903,-24.7761086,134.755,35.000074,104.999927,Australia,AUL,China,CHN
151,51,900,710,1952,291,422612,422903,-24.7761086,134.755,35.000074,104.999927,Australia,AUL,China,CHN
151,51,900,710,1953,291,422612,422903,-24.7761086,134.755,35.000074,104.999927,Australia,AUL,China,CHN
151,51,710,920,1951,422612,23,422635,35.000074,104.999927,-41.5000831,172.8344077,China,CHN,New Zealand,NEW
151,51,710,920,1952,422612,23,422635,35.000074,104.999927,-41.5000831,172.8344077,China,CHN,New Zealand,NEW
151,51,710,920,1953,422612,23,422635,35.000074,104.999927,-41.5000831,172.8344077,China,CHN,New Zealand,NEW
151,51,920,710,1951,23,422612,422635,-41.5000831,172.8344077,35.000074,104.999927,New Zealand,NEW,China,CHN
151,51,920,710,1952,23,422612,422635,-41.5000831,172.8344077,35.000074,104.999927,New Zealand,NEW,China,CHN
151,51,920,710,1953,23,422612,422635,-41.5000831,172.8344077,35.000074,104.999927,New Zealand,NEW,China,CHN
151,51,731,732,1950,316579,113248,429827,40.3736611,127.0870417,36.5581914,127.9408564,North Korea,PRK,South Korea,ROK
151,51,731,732,1951,316579,113248,429827,40.3736611,127.0870417,36.5581914,127.9408564,North Korea,PRK,South Korea,ROK
151,51,731,732,1952,316579,113248,429827,40.3736611,127.0870417,36.5581914,127.9408564,North Korea,PRK,South Korea,ROK
151,51,731,732,1953,316579,113248,429827,40.3736611,127.0870417,36.5581914,127.9408564,North Korea,PRK,South Korea,ROK
151,51,732,731,1950,113248,316579,429827,36.5581914,127.9408564,40.3736611,127.0870417,South Korea,ROK,North Korea,PRK
151,51,732,731,1951,113248,316579,429827,36.5581914,127.9408564,40.3736611,127.0870417,South Korea,ROK,North Korea,PRK
151,51,732,731,1952,113248,316579,429827,36.5581914,127.9408564,40.3736611,127.0870417,South Korea,ROK,North Korea,PRK
151,51,732,731,1953,113248,316579,429827,36.5581914,127.9408564,40.3736611,127.0870417,South Korea,ROK,North Korea,PRK
151,51,731,800,1951,316579,114,316693,40.3736611,127.0870417,14.8971921,100.83273,North Korea,PRK,Thailand,THI
151,51,731,800,1952,316579,114,316693,40.3736611,127.0870417,14.8971921,100.83273,North Korea,PRK,Thailand,THI
151,51,731,800,1953,316579,114,316693,40.3736611,127.0870417,14.8971921,100.83273,North Korea,PRK,Thailand,THI
151,51,800,731,1951,114,316579,316693,14.8971921,100.83273,40.3736611,127.0870417,Thailand,THI,North Korea,PRK
151,51,800,731,1952,114,316579,316693,14.8971921,100.83273,40.3736611,127.0870417,Thailand,THI,North Korea,PRK
151,51,800,731,1953,114,316579,316693,14.8971921,100.83273,40.3736611,127.0870417,Thailand,THI,North Korea,PRK
151,51,731,840,1950,316579,92,316671,40.3736611,127.0870417,12.7503486,122.7312101,North Korea,PRK,Philippines,PHI
151,51,731,840,1951,316579,92,316671,40.3736611,127.0870417,12.7503486,122.7312101,North Korea,PRK,Philippines,PHI
151,51,731,840,1952,316579,92,316671,40.3736611,127.0870417,12.7503486,122.7312101,North Korea,PRK,Philippines,PHI
151,51,731,840,1953,316579,92,316671,40.3736611,127.0870417,12.7503486,122.7312101,North Korea,PRK,Philippines,PHI
151,51,840,731,1950,92,316579,316671,12.7503486,122.7312101,40.3736611,127.0870417,Philippines,PHI,North Korea,PRK
151,51,840,731,1951,92,316579,316671,12.7503486,122.7312101,40.3736611,127.0870417,Philippines,PHI,North Korea,PRK
151,51,840,731,1952,92,316579,316671,12.7503486,122.7312101,40.3736611,127.0870417,Philippines,PHI,North Korea,PRK
151,51,840,731,1953,92,316579,316671,12.7503486,122.7312101,40.3736611,127.0870417,Philippines,PHI,North Korea,PRK
151,51,731,900,1950,316579,291,316870,40.3736611,127.0870417,-24.7761086,134.755,North Korea,PRK,Australia,AUL
151,51,731,900,1951,316579,291,316870,40.3736611,127.0870417,-24.7761086,134.755,North Korea,PRK,Australia,AUL
151,51,731,900,1952,316579,291,316870,40.3736611,127.0870417,-24.7761086,134.755,North Korea,PRK,Australia,AUL
151,51,731,900,1953,316579,291,316870,40.3736611,127.0870417,-24.7761086,134.755,North Korea,PRK,Australia,AUL
151,51,900,731,1950,291,316579,316870,-24.7761086,134.755,40.3736611,127.0870417,Australia,AUL,North Korea,PRK
151,51,900,731,1951,291,316579,316870,-24.7761086,134.755,40.3736611,127.0870417,Australia,AUL,North Korea,PRK
151,51,900,731,1952,291,316579,316870,-24.7761086,134.755,40.3736611,127.0870417,Australia,AUL,North Korea,PRK
151,51,900,731,1953,291,316579,316870,-24.7761086,134.755,40.3736611,127.0870417,Australia,AUL,North Korea,PRK
151,51,731,920,1950,316579,23,316602,40.3736611,127.0870417,-41.5000831,172.8344077,North Korea,PRK,New Zealand,NEW
151,51,731,920,1951,316579,23,316602,40.3736611,127.0870417,-41.5000831,172.8344077,North Korea,PRK,New Zealand,NEW
151,51,731,920,1952,316579,23,316602,40.3736611,127.0870417,-41.5000831,172.8344077,North Korea,PRK,New Zealand,NEW
151,51,731,920,1953,316579,23,316602,40.3736611,127.0870417,-41.5000831,172.8344077,North Korea,PRK,New Zealand,NEW
151,51,920,731,1950,23,316579,316602,-41.5000831,172.8344077,40.3736611,127.0870417,New Zealand,NEW,North Korea,PRK
151,51,920,731,1951,23,316579,316602,-41.5000831,172.8344077,40.3736611,127.0870417,New Zealand,NEW,North Korea,PRK
151,51,920,731,1952,23,316579,316602,-41.5000831,172.8344077,40.3736611,127.0870417,New Zealand,NEW,North Korea,PRK
151,51,920,731,1953,23,316579,316602,-41.5000831,172.8344077,40.3736611,127.0870417,New Zealand,NEW,North Korea,PRK
153,50,710,713,1954,1003,1367,2370,35.000074,104.999927,23.59829785,120.8353631,China,CHN,Taiwan,TAW
153,50,710,713,1955,1003,1367,2370,35.000074,104.999927,23.59829785,120.8353631,China,CHN,Taiwan,TAW
153,50,713,710,1954,1367,1003,2370,23.59829785,120.8353631,35.000074,104.999927,Taiwan,TAW,China,CHN
153,50,713,710,1955,1367,1003,2370,23.59829785,120.8353631,35.000074,104.999927,Taiwan,TAW,China,CHN
155,200,200,651,1956,20,3000,3020,54.7023545,-3.2765753,26.2540493,29.2675469,United Kingdom,UKG,Egypt,EGY
155,200,651,200,1956,3000,20,3020,26.2540493,29.2675469,54.7023545,-3.2765753,Egypt,EGY,United Kingdom,UKG
